ENTSTATION,EXTSTATION,Fare
Congress Heights,Silver Spring,4.9
Congress Heights,Rosslyn,3.45
Congress Heights,Farragut North,3.0
Congress Heights,Southern Avenue,2.25
Congress Heights,West Hyattsville,4.3
Congress Heights,Archives-Navy Memorial-Penn Quarter,2.6
Congress Heights,Waterfront,2.25
Congress Heights,Grosvenor-Strathmore,5.8
Congress Heights,Minnesota Ave,3.4
Congress Heights,Braddock Road,3.7
Congress Heights,East Falls Church,4.75
Congress Heights,Capitol South,2.5
Congress Heights,Naylor Road,2.25
Congress Heights,Van Dorn Street,4.95
Congress Heights,Cleveland Park,3.75
Congress Heights,Court House,3.65
Congress Heights,Arlington Cemetery,3.3
Congress Heights,Mt Vernon Sq 7th St-Convention Center,2.9
Congress Heights,Pentagon,2.9
Congress Heights,Branch Ave,2.85
Congress Heights,Potomac Ave,2.65
Congress Heights,Union Station,2.85
Congress Heights,College Park-U of Md,5.05
Congress Heights,Forest Glen,5.35
Congress Heights,Anacostia,2.25
Congress Heights,Vienna/Fairfax-GMU,6.0
Congress Heights,Largo Town Center,4.85
Congress Heights,U Street/African-Amer Civil War Memorial/Cardozo,3.2
Congress Heights,Glenmont,6.0
Congress Heights,Franconia-Springfield,5.85
Congress Heights,L'Enfant Plaza,2.45
Congress Heights,Navy Yard-Ballpark,2.25
Congress Heights,Clarendon,3.8
Congress Heights,Greenbelt,5.75
Congress Heights,NoMa-Gallaudet U,3.05
Congress Heights,McLean,5.9
Congress Heights,Woodley Park-Zoo/Adams Morgan,3.55
Congress Heights,Shaw-Howard U,3.05
Congress Heights,Federal Triangle,2.7
Congress Heights,Tysons Corner,6.0
Congress Heights,Federal Center SW,2.45
Congress Heights,New Carrollton,4.9
Congress Heights,Friendship Heights,4.4
Congress Heights,Huntington,4.25
Congress Heights,King St-Old Town,3.9
Congress Heights,Crystal City,3.05
Congress Heights,White Flint,6.0
Congress Heights,Takoma,4.5
Congress Heights,Smithsonian,2.6
Congress Heights,Bethesda,4.9
Congress Heights,Shady Grove,6.0
Congress Heights,Prince George's Plaza,4.6
Congress Heights,Dunn Loring-Merrifield,5.9
Congress Heights,Judiciary Square,2.75
Congress Heights,Stadium-Armory,2.85
Congress Heights,Gallery Pl-Chinatown,2.7
Congress Heights,Brookland-CUA,3.6
Congress Heights,Eastern Market,2.6
Congress Heights,Van Ness-UDC,3.9
Congress Heights,Capitol Heights,3.75
Congress Heights,Rockville,6.0
Congress Heights,Greensboro,6.0
Congress Heights,Rhode Island Ave-Brentwood,3.35
Congress Heights,Fort Totten,3.95
Congress Heights,West Falls Church-VT/UVA,5.3
Congress Heights,Columbia Heights,3.4
Congress Heights,Suitland,2.35
Congress Heights,Eisenhower Avenue,4.1
Congress Heights,Foggy Bottom-GWU,3.15
Congress Heights,Ballston-MU,4.05
Congress Heights,Pentagon City,3.05
Congress Heights,Metro Center,2.8
Congress Heights,Morgan Boulevard,4.45
Congress Heights,Wheaton,5.8
Congress Heights,Virginia Square-GMU,3.9
Congress Heights,Addison Road-Seat Pleasant,4.0
Congress Heights,Tenleytown-AU,4.2
Congress Heights,Deanwood,3.65
Congress Heights,Medical Center,5.2
Congress Heights,Georgia Ave-Petworth,3.6
Congress Heights,Dupont Circle,3.2
Congress Heights,McPherson Square,2.9
Congress Heights,Landover,4.45
Congress Heights,Spring Hill,6.0
Congress Heights,Ronald Reagan Washington National Airport,3.1
Congress Heights,Benning Road,3.4
Congress Heights,Farragut West,3.0
Congress Heights,Twinbrook,6.0
Congress Heights,Wiehle-Reston East,6.0
Congress Heights,Cheverly,3.95
Archives-Navy Memorial-Penn Quarter,Silver Spring,3.75
Archives-Navy Memorial-Penn Quarter,Rosslyn,2.25
Archives-Navy Memorial-Penn Quarter,Farragut North,2.25
Archives-Navy Memorial-Penn Quarter,Southern Avenue,2.9
Archives-Navy Memorial-Penn Quarter,West Hyattsville,3.3
Archives-Navy Memorial-Penn Quarter,Congress Heights,2.6
Archives-Navy Memorial-Penn Quarter,Waterfront,2.25
Archives-Navy Memorial-Penn Quarter,Grosvenor-Strathmore,4.65
Archives-Navy Memorial-Penn Quarter,Minnesota Ave,2.8
Archives-Navy Memorial-Penn Quarter,Braddock Road,3.45
Archives-Navy Memorial-Penn Quarter,East Falls Church,3.75
Archives-Navy Memorial-Penn Quarter,Capitol South,2.25
Archives-Navy Memorial-Penn Quarter,Naylor Road,3.1
Archives-Navy Memorial-Penn Quarter,Van Dorn Street,4.5
Archives-Navy Memorial-Penn Quarter,Cleveland Park,2.45
Archives-Navy Memorial-Penn Quarter,Court House,2.55
Archives-Navy Memorial-Penn Quarter,Arlington Cemetery,2.35
Archives-Navy Memorial-Penn Quarter,Mt Vernon Sq 7th St-Convention Center,2.25
Archives-Navy Memorial-Penn Quarter,Pentagon,2.25
Archives-Navy Memorial-Penn Quarter,Branch Ave,4.0
Archives-Navy Memorial-Penn Quarter,Potomac Ave,2.25
Archives-Navy Memorial-Penn Quarter,Union Station,2.25
Archives-Navy Memorial-Penn Quarter,College Park-U of Md,4.1
Archives-Navy Memorial-Penn Quarter,Forest Glen,4.2
Archives-Navy Memorial-Penn Quarter,Anacostia,2.25
Archives-Navy Memorial-Penn Quarter,Vienna/Fairfax-GMU,5.65
Archives-Navy Memorial-Penn Quarter,Largo Town Center,4.5
Archives-Navy Memorial-Penn Quarter,U Street/African-Amer Civil War Memorial/Cardozo,2.25
Archives-Navy Memorial-Penn Quarter,Glenmont,5.15
Archives-Navy Memorial-Penn Quarter,Franconia-Springfield,5.5
Archives-Navy Memorial-Penn Quarter,L'Enfant Plaza,2.25
Archives-Navy Memorial-Penn Quarter,Navy Yard-Ballpark,2.25
Archives-Navy Memorial-Penn Quarter,Clarendon,2.75
Archives-Navy Memorial-Penn Quarter,Greenbelt,4.8
Archives-Navy Memorial-Penn Quarter,NoMa-Gallaudet U,2.25
Archives-Navy Memorial-Penn Quarter,McLean,4.9
Archives-Navy Memorial-Penn Quarter,Woodley Park-Zoo/Adams Morgan,2.25
Archives-Navy Memorial-Penn Quarter,Shaw-Howard U,2.25
